Q84#4_2,Q84#4_3,Q84#4_1,Q84#4_4,Q84#6_4,Q84#6_1,Q84#6_2,Q84#6_3,Q84#2_1,Q84#2_2,Q84#2_3,Q84#2_4,Q84#3_1,Q84#3_3,Q84#3_2,Q84#3_4,Q84#5_2,Q84#5_1,Q84#5_4,Q84#1_4,Q84#1_3,Q84#1_2,Q84#1_1,Q84#5_3
Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Neutral,Very Uncomfortable,Very Comfortable,Neutral,Very Uncomfortable,Comfortable,Very Comfortable,Very Uncomfortable,Neutral,Comfortable,Neutral,Very Comfortable,Uncomfortable,Comfortable,Very Uncomfortable,Neutral,Very Comfortable,Uncomfortable
Neutral,Neutral,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable
Uncomfortable,Very Uncomfortable,Very Comfortable,Uncomfortable,Comfortable,Very Comfortable,Comfortable,Very Uncomfortable,Very Comfortable,Comfortable,Uncomfortable,Comfortable,Very Comfortable,Uncomfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Uncomfortable,Neutral,Very Comfortable,Uncomfortable
Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable
Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable
Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral
Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable
Neutral,Neutral,Very Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Very Comfortable,Neutral
Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Neutral,Neutral,Neutral,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable
Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Neutral,Neutral,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Comfortable,Very Comfortable,Neutral,Neutral,Neutral,Comfortable,Very Comfortable,Neutral
